iter	Passed	Remaining
0	0	87
1	1	81
2	2	75
3	2	69
4	3	69
5	4	68
6	5	66
7	5	65
8	6	64
9	7	64
10	7	63
11	8	62
12	9	61
13	9	60
14	10	60
15	11	59
16	12	59
17	12	58
18	13	57
19	14	57
20	15	56
21	15	56
22	16	55
23	17	55
24	18	55
25	19	54
26	19	54
27	20	53
28	21	53
29	22	52
30	23	51
31	24	51
32	25	50
33	25	50
34	26	49
35	27	49
36	28	48
37	29	48
38	30	47
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	35	43
45	36	42
46	37	41
47	38	41
48	39	40
49	39	39
50	40	39
51	41	38
52	42	38
53	43	37
54	44	36
55	45	35
56	46	35
57	47	34
58	48	33
59	49	33
60	50	32
61	51	31
62	52	30
63	53	30
64	54	29
65	55	28
66	56	27
67	57	27
68	58	26
69	59	25
70	60	24
71	61	24
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	67	19
78	68	18
79	69	17
80	70	16
81	71	15
82	73	14
83	74	14
84	75	13
85	76	12
86	77	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	86	4
95	87	3
96	88	2
97	89	1
98	90	0
99	91	0
